Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Segment,Country,State,City,Region,Postal_Code,Product_ID,Product_Name,Category,Sub_Category,Brand,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Profit_Margin,Ship_Mode,Shipping_Cost,Payment_Method,Order_Status,Salesperson,Return_Status,Customer_Rating
ORD008845,2024-10-30,2024-10-30,CUST05177,Neha Singh,Corporate,UAE,Maharashtra, MUMBAI ,East,,P00927,Chair X,Furniture,Chair,Prime,8,1747.92,-0.1,15381.696000000002,1557.61,2920.82,18.99,standard ,400.87,UPI,Shipped,Karan,,
ORD004574,2023-07-05,2023-07-06,CUST00469,Sara Patel,Corporate,India,Tamil Nadu,Delhi,South,,P00635,Laptop Max,Office Supplies,Paper,Prime,19,2153.99,0.49,20872.163099999998,1651.0,-10496.84,-50.29,Same Day,232.98,,Pending,Karan,No,5
ORD041865,2025-03-17,2025-03-19,CUST03961,John Singh,Consumer,india,Maharastra,Delhi,West,353263,P02477,Phone ,Furniture,Table,Acme,15,4507.81,,67617.15000000001,2962.9,23173.65,34.27,standard ,380.59,Cash,Shipped,Meera,No,5
ORD016351,"Apr 15, 2023",2023-04-30,CUST10614,John Sharma, consumer ,India,Delhi,,East,152680,P00682,Notebook 2025,Furniture,Chair,,15,1960.01,,29400.15,1280.65,10190.4,34.66,Express,70.04,COD,Pending,Anjali,No,2
ORD010169,"Jul 21, 2024",2024-08-03,CUST12251,Amit Singh,Corporate,India,Delhi,,North,,P00875,Notebook X,Technology,Phone,,10,810.23,-0.1,8912.53,449.89,4413.63,49.52,Express,482.31,Cash,Delivered,Rohit,No,1
ORD043733,2023-06-24,2023-06-22,CUST01997, Khan, consumer ,India,Karnataka,,,,P01678,Chair ,Technology,Laptop,Acme,18,4206.08,1.2,-15141.887999999997,2389.88,-58159.73,384.1,Same Day,127.02,COD,Cancelled,Karan,Yes,3
ORD010497,2024-12-23,2024-12-21,CUST10958,Rahul Sharma,Corporate,india,Maharashtra,Bengaluru,,ABC123,P02607,Chair Pro,Technology,Laptop,Acme,9,4324.76,-0.1,42815.12400000001,2293.86,22170.38,51.78,Express,136.81,COD,Delivered,,No,
ORD021690,"May 28, 2023",2023-06-05,CUST00820,Rahul Sharma, consumer ,india,Maharashtra,Hydrabad,South,986276,P01017,Phone 2025,Office Supplies,Paper,Prime,4,3504.27,0.21,11073.4932,2314.62,1815.01,16.39,Standard,450.7,UPI,Shipped,,No,4
ORD000839,2024-11-20,2024-11-26,CUST02415,Sara Patel,Corporate,India,Maharastra,,West,ABC123,P00552,Mouse ,Office Supplies,Paper,Acme,18,2086.79,,37562.22,1070.17,18299.16,48.72,Standard,452.82,Card,Delivered,Meera,No,4
ORD004824,2024-10-20,2024-10-22,CUST07937,Priya Patel,Corporate,,Karnataka,Pune,,,P00191,Notebook ,Technology,Phone,Zen,10,4388.64,,43886.4,1882.95,25056.9,57.09,Express,38.84,UPI,Shipped,Rohit,Yes,1
ORD028195,2024-06-21,2024-06-25,CUST08305,Rahul Khan,Consumer,India,Tamil Nadu,Hydrabad,West,571383,P01131,Phone Pro,Office Supplies,Paper,Nova,20,4665.2,-0.1,102634.40000000001,3663.25,29369.4,28.62,standard ,234.53,Cash,Shipped,Rohit,Yes,4
ORD016166,2025-01-11,2025-01-16,CUST05479,Vikas Khan,Corporate,UAE,Maharastra,Chennai,North,,P02862,Chair X,Furniture,Table,,7,3367.15,0.12,20741.644,1891.44,7501.56,36.17,standard ,339.28,,Delivered,Anjali,No,1
ORD032825,"Dec 15, 2023",2023-12-28,CUST08675,Neha Sharma,Consumer,India,Maharashtra,Pune,,181588,P00905,Desk Pro,Technology,Laptop,Prime,9,2337.27,-0.1,23138.973,1675.57,8058.84,34.83,standard ,436.71,Cash,Cancelled,Anjali,,4
ORD042809,"Apr 22, 2024",2024-04-28,CUST03435,Priya ,Consumer,UAE,Maharashtra,Hydrabad,South,ABC123,P02615,Desk X,Technology,Laptop,Acme,10,649.87,1.2,-1299.7399999999998,455.9,-5858.74,450.76,Same Day,160.96,COD,Shipped,,Yes,3
ORD003381,2025-01-23,2025-01-26,CUST01224,Amit Singh,Corporate,USA,Maharastra,Chennai,North,,P01174,Chair X,Technology,Phone,Zen,16,4155.72,-0.1,73140.672,2017.65,40858.27,55.86,Same Day,366.25,,Cancelled,Anjali,Yes,4
ORD037841,2023-06-28,2023-07-09,CUST10671,Priya Singh,Corporate,USA,Maharashtra, MUMBAI ,,400001 ,P01873,Desk Max,Technology,Laptop,Acme,1,2709.6,1.2,-541.9199999999998,2328.26,-2870.18,529.63,Standard,350.39,,Delivered,,Yes,Five
ORD011986,2024-06-20,2024-06-19,CUST09667,Priya Patel,Corporate,india,Gujarat, MUMBAI ,South,,P01146,Laptop 2025,Furniture,Table,Acme,13,2530.67,0.19,26647.955100000003,1658.92,5082.0,19.07,standard ,130.99,Card,Shipped,Karan,No,3
